1,A K Q J T,SF
2,K Q J T 9,SF
3,Q J T 9 8,SF
4,J T 9 8 7,SF
5,T 9 8 7 6,SF
6,9 8 7 6 5,SF
7,8 7 6 5 4,SF
8,7 6 5 4 3,SF
9,6 5 4 3 2,SF
10,5 4 3 2 A,SF
11,A A A A K,4K
12,A A A A Q,4K
13,A A A A J,4K
14,A A A A T,4K
15,A A A A 9,4K
16,A A A A 8,4K
17,A A A A 7,4K
18,A A A A 6,4K
19,A A A A 5,4K
20,A A A A 4,4K
21,A A A A 3,4K
22,A A A A 2,4K
23,K K K K A,4K
24,K K K K Q,4K
25,K K K K J,4K
26,K K K K T,4K
27,K K K K 9,4K
28,K K K K 8,4K
29,K K K K 7,4K
30,K K K K 6,4K
31,K K K K 5,4K
32,K K K K 4,4K
33,K K K K 3,4K
34,K K K K 2,4K
35,Q Q Q Q A,4K
36,Q Q Q Q K,4K
37,Q Q Q Q J,4K
38,Q Q Q Q T,4K
39,Q Q Q Q 9,4K
40,Q Q Q Q 8,4K
41,Q Q Q Q 7,4K
42,Q Q Q Q 6,4K
43,Q Q Q Q 5,4K
44,Q Q Q Q 4,4K
45,Q Q Q Q 3,4K
46,Q Q Q Q 2,4K
47,J J J J A,4K
48,J J J J K,4K
49,J J J J Q,4K
50,J J J J T,4K
51,J J J J 9,4K
52,J J J J 8,4K
53,J J J J 7,4K
54,J J J J 6,4K
55,J J J J 5,4K
56,J J J J 4,4K
57,J J J J 3,4K
58,J J J J 2,4K
59,T T T T A,4K
60,T T T T K,4K
61,T T T T Q,4K
62,T T T T J,4K
63,T T T T 9,4K
64,T T T T 8,4K
65,T T T T 7,4K
66,T T T T 6,4K
67,T T T T 5,4K
68,T T T T 4,4K
69,T T T T 3,4K
70,T T T T 2,4K
71,9 9 9 9 A,4K
72,9 9 9 9 K,4K
73,9 9 9 9 Q,4K
74,9 9 9 9 J,4K
75,9 9 9 9 T,4K
76,9 9 9 9 8,4K
77,9 9 9 9 7,4K
78,9 9 9 9 6,4K
79,9 9 9 9 5,4K
80,9 9 9 9 4,4K
81,9 9 9 9 3,4K
82,9 9 9 9 2,4K
83,8 8 8 8 A,4K
84,8 8 8 8 K,4K
85,8 8 8 8 Q,4K
86,8 8 8 8 J,4K
87,8 8 8 8 T,4K
88,8 8 8 8 9,4K
89,8 8 8 8 7,4K
90,8 8 8 8 6,4K
91,8 8 8 8 5,4K
92,8 8 8 8 4,4K
93,8 8 8 8 3,4K
94,8 8 8 8 2,4K
95,7 7 7 7 A,4K
96,7 7 7 7 K,4K
97,7 7 7 7 Q,4K
98,7 7 7 7 J,4K
99,7 7 7 7 T,4K
100,7 7 7 7 9,4K
101,7 7 7 7 8,4K
102,7 7 7 7 6,4K
103,7 7 7 7 5,4K
104,7 7 7 7 4,4K
105,7 7 7 7 3,4K
106,7 7 7 7 2,4K
107,6 6 6 6 A,4K
108,6 6 6 6 K,4K
109,6 6 6 6 Q,4K
110,6 6 6 6 J,4K
111,6 6 6 6 T,4K
112,6 6 6 6 9,4K
113,6 6 6 6 8,4K
114,6 6 6 6 7,4K
115,6 6 6 6 5,4K
116,6 6 6 6 4,4K
117,6 6 6 6 3,4K
118,6 6 6 6 2,4K
119,5 5 5 5 A,4K
120,5 5 5 5 K,4K
121,5 5 5 5 Q,4K
122,5 5 5 5 J,4K
123,5 5 5 5 T,4K
124,5 5 5 5 9,4K
125,5 5 5 5 8,4K
126,5 5 5 5 7,4K
127,5 5 5 5 6,4K
128,5 5 5 5 4,4K
129,5 5 5 5 3,4K
130,5 5 5 5 2,4K
131,4 4 4 4 A,4K
132,4 4 4 4 K,4K
133,4 4 4 4 Q,4K
134,4 4 4 4 J,4K
135,4 4 4 4 T,4K
136,4 4 4 4 9,4K
137,4 4 4 4 8,4K
138,4 4 4 4 7,4K
139,4 4 4 4 6,4K
140,4 4 4 4 5,4K
141,4 4 4 4 3,4K
142,4 4 4 4 2,4K
143,3 3 3 3 A,4K
144,3 3 3 3 K,4K
145,3 3 3 3 Q,4K
